Fighter_first,Fighter_last,Fighter_height,Fighter_weight,Fighter_reach,Fighter_wins,Fighter_losses,Fighter_draws,Fighter_nickname,Fighter_stance
Rostem,Akman,"5' 10""",170 lbs.,"72.0""",6,2,0,,Switch
Razak,Al-Hassan,"6' 2""",205 lbs.,--,13,5,0,,Orthodox
Abdul-Kareem,Al-Selwady,"5' 8""",155 lbs.,"69.0""",15,3,0,Pride of Palestine,Orthodox
Mostapha,Al-Turk,"6' 2""",245 lbs.,"77.0""",6,6,0,,Orthodox
Herdem,Alacabek,"6' 2""",205 lbs.,"75.0""",5,1,0,,Orthodox
Javi,Alanis,"5' 6""",135 lbs.,--,0,4,0,,
Amir,Albazi,"5' 5""",125 lbs.,"68.0""",17,1,0,The Prince,Orthodox
Brett,Albee,--,225 lbs.,--,3,2,0,,
John,Albert,"5' 8""",135 lbs.,"68.0""",6,5,0,Prince,Orthodox
Junior,Albini,"6' 3""",264 lbs.,"74.0""",14,6,0,Baby,Orthodox
Wes,Albritton,"5' 10""",188 lbs.,--,0,1,0,,Orthodox
Aleksandra,Albu,"5' 2""",115 lbs.,"63.0""",3,2,0,Stitch,Orthodox
Israel,Albuquerque,--,185 lbs.,--,0,3,0,,Orthodox
Juan,Alcain,--,--,--,1,2,0,,
Iuri,Alcantara,"5' 9""",135 lbs.,"71.0""",35,10,0,Marajo,Southpaw
Ildemar,Alcantara,"6' 2""",185 lbs.,"78.0""",21,11,0,Marajo,Orthodox
Alfonso,Alcarez,"5' 3""",145 lbs.,--,1,3,1,,
Gilbert,Aldana,"6' 1""",250 lbs.,--,6,2,0,El Peligro,Orthodox
Irene,Aldana,"5' 9""",135 lbs.,"68.0""",14,7,0,,Orthodox
Hector,Aldana,"5' 11""",170 lbs.,"72.0""",4,3,0,,Orthodox
Jose,Alday,"5' 7""",135 lbs.,"68.0""",14,6,1,Pochito,Orthodox
Jose,Aldo,"5' 7""",135 lbs.,"70.0""",31,8,0,,Orthodox
JJ,Aldrich,"5' 5""",125 lbs.,"67.0""",13,6,0,,Southpaw
Irina,Alekseeva,"5' 8""",135 lbs.,"67.0""",5,2,0,Russian Ronda,Orthodox
Talita,Alencar,"5' 1""",115 lbs.,"58.0""",4,0,1,,Orthodox
Jim,Alers,"5' 9""",145 lbs.,"71.0""",13,3,0,The Beast,Orthodox
John,Alessio,"5' 10""",155 lbs.,"72.0""",35,17,0,The Natural,Orthodox
Houston,Alexander,"6' 0""",205 lbs.,"72.0""",17,15,1,The Assassin,Orthodox
Kenneth,Alexander,"5' 9""",155 lbs.,--,7,6,0,The Machine,Orthodox
Lucas,Alexander,"5' 11""",145 lbs.,"73.0""",8,3,0,The Lion,Orthodox
Marcio,Alexandre Junior,"6' 0""",185 lbs.,"75.0""",17,4,0,Lyoto,Southpaw
Olaf,Alfonso,"6' 2""",170 lbs.,--,8,12,0,,Orthodox
Pablo,Alfonso,"5' 8""",145 lbs.,--,9,7,0,The Hurricane,
Levi,Alford,--,--,--,1,7,0,,
Bill,Algeo,"6' 0""",145 lbs.,"73.0""",18,7,0,Senor Perfecto,Switch
Royce,Alger,"5' 10""",199 lbs.,--,3,2,0,,Orthodox
Amir,Aliakbari,"6' 3""",250 lbs.,--,10,1,0,,
Sultan,Aliev,"5' 11""",170 lbs.,"74.0""",15,3,0,,Orthodox
Nurullo,Aliev,"5' 10""",155 lbs.,"72.0""",9,0,0,Tajik Eagle,Orthodox
Ikram,Aliskerov,"6' 0""",185 lbs.,"76.0""",15,1,0,,Southpaw
Leon,Aliu,"6' 0""",185 lbs.,"74.0""",10,2,0,The Albanian Lion,Orthodox
John,Allan,"6' 1""",205 lbs.,"75.0""",13,7,0,,Orthodox
George,Allen,"6' 2""",205 lbs.,--,13,19,2,,Open Stance
Arnold,Allen,"5' 8""",145 lbs.,"70.0""",19,2,0,Almighty,Southpaw
Brendan,Allen,"6' 2""",185 lbs.,"75.0""",22,5,0,All In,Orthodox
Daniel,Allen,"6' 0""",155 lbs.,"75.0""",5,0,0,,Southpaw
Ben,Alloway,"5' 11""",170 lbs.,"76.0""",18,8,0,Blanco,Orthodox
Assu,Almabayev,"5' 4""",125 lbs.,"65.0""",18,2,0,Zulfikar,Orthodox
Ricardo,Almeida,"6' 0""",170 lbs.,"74.0""",13,5,0,Big Dog,Orthodox
Magno,Almeida,"6' 0""",155 lbs.,--,10,3,0,,
Thomas,Almeida,"5' 7""",145 lbs.,"70.0""",22,5,0,Thominhas,Southpaw
Ericka,Almeida,"5' 6""",115 lbs.,--,7,3,0,,Orthodox
Estefani,Almeida,"5' 4""",125 lbs.,--,7,3,0,,Orthodox
Jailton,Almeida,"6' 3""",205 lbs.,"79.0""",20,2,0,Malhadinho,Orthodox
Lucas,Almeida,"5' 11""",145 lbs.,"71.0""",14,2,0,,Orthodox
Cesar,Almeida,"6' 1""",185 lbs.,"74.0""",4,0,0,Cesinha,Orthodox
Mauricio,Alonso,"6' 2""",170 lbs.,--,13,7,0,,
Sarah,Alpar,"5' 4""",135 lbs.,"63.0""",9,6,0,Too Sweet,Southpaw
Ali,AlQaisi,"5' 6""",135 lbs.,"68.0""",8,5,0,The Royal Fighter,Orthodox
Rico,Altamirano,"5' 10""",170 lbs.,--,4,3,0,,
Victor,Altamirano,"5' 8""",125 lbs.,"70.0""",12,3,0,El Magnifico,Switch
Mike,Altman,"5' 10""",185 lbs.,--,1,4,0,,Orthodox
Patricia,Alujas,"5' 4""",115 lbs.,"64.0""",9,3,0,The Angel,Orthodox
Sean,Alvarez,"6' 0""",235 lbs.,--,4,3,0,,Orthodox
Eddie,Alvarez,"5' 9""",155 lbs.,"69.0""",29,6,0,,Orthodox
Jaime,Alvarez,"5' 8""",125 lbs.,"69.0""",6,1,0,,Orthodox
Joel,Alvarez,"6' 3""",155 lbs.,"77.0""",20,3,0,El Fenomeno,Orthodox
Thiago,Alves,"5' 9""",170 lbs.,"70.0""",23,15,0,Pitbull,Orthodox
Anthony,Alves,--,--,--,1,4,0,,
Amilcar,Alves,"6' 0""",170 lbs.,--,15,12,0,,Southpaw
Warlley,Alves,"5' 11""",185 lbs.,"72.0""",15,7,0,,Orthodox
Rafael,Alves,"5' 8""",155 lbs.,"68.0""",20,12,0,The Turn,Orthodox
Sam,Alvey,"6' 2""",185 lbs.,"75.0""",33,18,1,Smile'N,Southpaw
Andre,Amado,"6' 0""",154 lbs.,--,6,4,1,Dida,Orthodox
Adlan,Amagov,"6' 2""",170 lbs.,"76.0""",14,2,1,Borz,Orthodox
Maiara,Amanajas dos Santos,"5' 5""",115 lbs.,--,7,3,0,,Southpaw
Rayanne,Amanda,"5' 2""",115 lbs.,"62.0""",11,6,0,,Orthodox
Chris,Amarante,--,185 lbs.,--,2,0,0,,
Jimmy,Ambriz,"6' 2""",315 lbs.,--,17,21,1,The Titan,Southpaw
JJ,Ambrose,"5' 10""",170 lbs.,--,28,7,0,,Orthodox
Alen,Amedovski,"5' 10""",185 lbs.,"74.0""",8,4,0,,Orthodox
Hyder,Amil,"5' 9""",145 lbs.,"70.0""",8,0,0,The Hurricane,Switch
Makwan,Amirkhani,"5' 10""",145 lbs.,"72.0""",17,9,0,Mr. Finland,Southpaw
Jaqueline,Amorim,"5' 3""",115 lbs.,"68.0""",7,1,0,,Orthodox
Bertrand,Amoussou,"5' 8""",190 lbs.,--,1,1,0,,Orthodox
Karl,Amoussou,"5' 11""",185 lbs.,--,27,7,2,The Psycho,Orthodox
Eryk,Anders,"6' 1""",185 lbs.,"75.0""",15,8,0,Ya Boi,Southpaw
Matt,Andersen,"6' 2""",230 lbs.,--,14,8,1,,Southpaw
Andy,Anderson,"5' 6""",240 lbs.,--,0,1,0,The Hammer,
Lowell,Anderson,"5' 6""",160 lbs.,--,0,1,0,,Orthodox
Corey,Anderson,"6' 3""",205 lbs.,"79.0""",14,5,0,Overtime,Orthodox
Derek,Anderson,"6' 0""",155 lbs.,--,14,3,0,Barbaric,
Megan,Anderson,"6' 0""",145 lbs.,"72.0""",11,5,0,,Orthodox
Tatsuya,Ando,--,135 lbs.,--,13,3,1,,
Alex,Andrade,"5' 11""",200 lbs.,--,10,5,0,El Toro,Orthodox
Jessica,Andrade,"5' 1""",115 lbs.,"62.0""",25,12,0,Bate Estaca,Orthodox
Viscardi,Andrade,"5' 11""",170 lbs.,"75.0""",19,6,0,,Orthodox
Jermaine,Andre,"5' 7""",200 lbs.,--,14,4,0,,Orthodox
Juan,Andres Luna,"5' 7""",125 lbs.,"72.0""",12,1,0,,Orthodox
Fellipe,Andrew,--,--,--,0,0,0,,
Dylan,Andrews,"6' 1""",185 lbs.,"74.0""",18,7,0,The Villain,Switch
Reese,Andy,"6' 0""",205 lbs.,--,7,3,0,Riptide,Orthodox
Julius,Anglickas,"6' 3""",205 lbs.,--,5,1,0,,Orthodox
Collin,Anglin,"5' 9""",145 lbs.,"71.0""",8,3,0,,Orthodox
Chad,Anheliger,"5' 6""",135 lbs.,"64.0""",12,6,0,The Monster,Orthodox
Yoji,Anjo,"5' 11""",205 lbs.,--,0,5,1,Mr. 200%,Orthodox
Magomed,Ankalaev,"6' 3""",205 lbs.,"75.0""",18,1,1,,Orthodox
Gadzhimurad,Antigulov,"5' 11""",205 lbs.,"70.0""",20,8,0,,Orthodox
Adam,Antolin,"5' 5""",125 lbs.,"63.0""",12,3,0,Captain Chaos,Orthodox
Angelo,Antonio,--,205 lbs.,--,1,4,0,,Orthodox
Azunna,Anyanwu,"6' 1""",251 lbs.,--,14,5,0,Zulu,Orthodox
Shinsho,Anzai,"5' 7""",170 lbs.,"70.0""",10,3,0,Animal,Orthodox
Shinya,Aoki,"5' 11""",154 lbs.,--,39,7,0,Tobikan Judan,Southpaw
Josh,Appelt,"5' 10""",255 lbs.,--,15,7,0,,Southpaw
Erik,Apple,"6' 0""",170 lbs.,--,10,3,0,,Orthodox
Kenji,Arai,"5' 10""",145 lbs.,--,15,15,5,,Southpaw
Romie,Aram,"5' 10""",170 lbs.,--,7,1,0,,Orthodox
Felipe,Arantes,"5' 8""",135 lbs.,"73.0""",18,10,1,Sertanejo,Orthodox
Igor,Araujo,"6' 1""",170 lbs.,"77.0""",25,9,0,,Orthodox
Viviane,Araujo,"5' 4""",125 lbs.,"68.0""",12,5,0,Vivi,Orthodox
Julio,Arce,"5' 7""",135 lbs.,"70.0""",18,6,0,,Southpaw
Art,Arciniega,"5' 8""",145 lbs.,--,15,7,0,King Arthur,
Tristan,Arenal,--,155 lbs.,--,7,4,0,,
Gabriel,Arges,--,170 lbs.,--,0,0,0,,
Dan,Argueta,"5' 7""",135 lbs.,"68.0""",9,2,0,The Determined,Southpaw
Reza,Arianto,--,155 lbs.,--,5,0,0,The Crazy Lion,
Hashem,Arkhagha,"6' 2""",185 lbs.,"75.0""",6,1,0,,Orthodox
Andrei,Arlovski,"6' 3""",240 lbs.,"77.0""",34,22,0,The Pitbull,Orthodox
Garrett,Armfield,"5' 6""",135 lbs.,"70.0""",9,3,0,,Orthodox
Joey,Armstrong,--,--,--,5,2,0,,
Austin,Arnett,"6' 0""",145 lbs.,"72.0""",16,6,0,,Orthodox
Ricardo,Arona,"5' 11""",205 lbs.,--,14,5,0,The Brazilian Tiger,Orthodox
Eli,Aronov,"5' 10""",185 lbs.,"72.0""",6,1,0,The Israeli Tank,Orthodox
Chalid,Arrab,"5' 11""",205 lbs.,--,7,3,0,Die Faust,Orthodox
Akbarh,Arreola,"5' 10""",155 lbs.,"71.0""",23,11,1,El Caballero,Southpaw
Matt,Arroyo,"5' 10""",170 lbs.,"72.0""",3,3,0,No Regard,Orthodox
Antonio,Arroyo,"6' 3""",185 lbs.,"73.0""",9,5,0,,Orthodox
Gilles,Arsene,"5' 9""",190 lbs.,--,1,1,0,,Southpaw
Veta,Arteaga,"5' 7""",125 lbs.,--,3,1,0,,
Cesar,Arzamendia,"5' 11""",155 lbs.,--,8,3,0,Goku,Orthodox
Teddy,Ash,"6' 1""",185 lbs.,"73.0""",14,5,0,Bear,Switch
Arman,Ashimov,"5' 6""",125 lbs.,--,11,3,1,Mustafa Ozturik,
Yanal,Ashmouz,"5' 9""",155 lbs.,"68.0""",7,1,0,Red Fox,Orthodox
Askar,Askar,"5' 7""",145 lbs.,"69.0""",11,1,0,AK-47,Orthodox
Askar,Askarov,"5' 6""",125 lbs.,"67.0""",14,1,1,Bullet,Orthodox
Cyril,Asker,"6' 0""",247 lbs.,"74.0""",9,4,0,Silverback,Orthodox
Khusein,Askhabov,"5' 8""",145 lbs.,"69.0""",23,1,0,Nohcho,Orthodox
Scott,Askham,"6' 3""",185 lbs.,"75.0""",14,4,0,,Southpaw
Ben,Askren,"5' 11""",170 lbs.,"73.0""",19,2,0,Funky,Orthodox
Ibo,Aslan,"6' 3""",205 lbs.,"77.0""",12,1,0,The Last Ottoman,Orthodox
Tom,Aspinall,"6' 5""",256 lbs.,"78.0""",14,3,0,,Orthodox
Bruno,Assis,"6' 2""",185 lbs.,--,8,4,0,Brunao,Orthodox
Junior,Assuncao,"5' 9""",145 lbs.,"72.0""",16,6,0,,Orthodox
Raphael,Assuncao,"5' 5""",135 lbs.,"66.0""",28,10,0,,Orthodox
Bazigit,Atajev,"6' 1""",230 lbs.,--,17,1,0,Volk,Orthodox
Rich,Attonito,"5' 10""",170 lbs.,"72.0""",10,5,0,The Raging Bull,Orthodox
Olivier,Aubin-Mercier,"5' 9""",155 lbs.,"70.0""",11,5,0,The Canadian Gangster,Southpaw
Pat,Audinwood,"6' 0""",155 lbs.,--,11,2,1,Awesomely Awesome,Orthodox
Jose,Augusto,"6' 3""",251 lbs.,--,6,2,0,Gugu,
Marcus,Aurelio,"5' 10""",155 lbs.,"74.0""",22,10,0,Maximus,Orthodox
David,Avellan,"5' 9""",185 lbs.,--,2,1,0,,Orthodox
Blas,Avena,"6' 0""",170 lbs.,"74.0""",8,7,0,The Disciple,Orthodox
Levi,Avera,"6' 1""",170 lbs.,--,18,15,0,,
Anthony,Avila,"5' 7""",145 lbs.,--,13,5,0,,
Chris,Avila,"5' 10""",145 lbs.,--,5,4,0,,Orthodox
Julia,Avila,"5' 7""",135 lbs.,"68.0""",9,2,0,Raging Panda,Orthodox
Saad,Awad,"5' 11""",155 lbs.,--,20,9,0,Assassin,
Javy,Ayala,"6' 1""",265 lbs.,--,10,5,0,Eye Candy,
Jessin,Ayari,"6' 0""",155 lbs.,"73.0""",16,6,0,,Orthodox
Abu,Azaitar,"5' 9""",185 lbs.,"76.0""",14,4,1,Captain Morocco,Orthodox
Ottman,Azaitar,"5' 8""",155 lbs.,"71.0""",13,2,0,Bulldozer,Switch
Luiz,Azeredo,"5' 9""",154 lbs.,--,15,10,0,,Orthodox
Luciano,Azevedo,"6' 3""",161 lbs.,--,17,9,1,,Orthodox
Hunter,Azure,"5' 8""",145 lbs.,"69.0""",9,2,0,,Orthodox
Niklas,Backstrom,"6' 1""",145 lbs.,--,11,3,0,,Orthodox
Seth,Baczynski,"6' 3""",170 lbs.,"75.0""",20,14,0,The Polish Pistola,Orthodox
Abdul Azeem,Badakhshi,--,145 lbs.,--,13,3,0,The Afghan Lion,
Ryan,Bader,"6' 2""",205 lbs.,"74.0""",23,5,0,Darth,Orthodox
Izabela,Badurek,"5' 5""",115 lbs.,--,6,3,0,,Orthodox
Miguel,Baeza,"6' 2""",170 lbs.,"74.0""",10,3,0,Caramel Thunder,Orthodox
Ali,Bagautinov,"5' 4""",125 lbs.,"65.0""",15,6,0,Puncher,Orthodox
Mehdi,Baghdad,"6' 1""",155 lbs.,--,11,5,0,The Sultan,Orthodox
Melsik,Baghdasaryan,"5' 9""",145 lbs.,"70.0""",8,2,0,The Gun,Southpaw
Siyar,Bahadurzada,"5' 11""",170 lbs.,"73.0""",24,8,1,The Great,Orthodox
Ignacio,Bahamondes,"6' 3""",155 lbs.,"75.0""",14,5,0,La Jaula,Orthodox
Bahatebole,Batebolati,"5' 11""",155 lbs.,"71.0""",8,1,1,Lion King,Southpaw
Shamar,Bailey,"5' 9""",155 lbs.,"75.0""",16,11,0,,Southpaw
Jordan,Bailey,"5' 9""",145 lbs.,--,6,3,0,,
Scott,Baker,"6' 0""",210 lbs.,--,1,1,0,,
Bryan,Baker,"6' 3""",185 lbs.,--,18,5,0,The Beast,Orthodox
Jin,Bala,"5' 9""",155 lbs.,--,23,3,0,,
Oluwale,Bamgbose,"5' 11""",185 lbs.,"78.0""",6,4,0,Holy War Angel,Switch
Stephen,Banaszak,"6' 0""",145 lbs.,--,5,5,0,,
Marcin,Bandel,"5' 10""",155 lbs.,--,15,7,0,Bomba,Orthodox
Humberto,Bandenay,"5' 11""",145 lbs.,"71.0""",14,7,0,,Southpaw
Tae Hyun,Bang,"5' 9""",155 lbs.,"71.0""",18,10,0,Supernatural,Switch
Yohan,Banks,--,--,--,2,1,0,,
Shauna,Bannon,"5' 5""",115 lbs.,"65.0""",5,1,0,Mama B,Switch
Antonio,Banuelos,"5' 5""",135 lbs.,"63.0""",20,11,1,,Orthodox
Renan,Barao,"5' 6""",145 lbs.,"70.0""",34,9,0,The Baron,Orthodox
Junior,Barata,"5' 10""",170 lbs.,--,9,3,1,,Orthodox
Maycee,Barber,"5' 5""",125 lbs.,"65.0""",13,2,0,The Future,Switch
Bryan,Barberena,"6' 0""",170 lbs.,"72.0""",18,11,0,Bam Bam,Southpaw
Dione,Barbosa,"5' 6""",125 lbs.,"66.0""",6,2,0,The Witch,Orthodox
Edson,Barboza,"5' 11""",145 lbs.,"75.0""",24,11,0,Junior,Orthodox
Raoni,Barcelos,"5' 7""",135 lbs.,"67.0""",17,5,0,,Orthodox
Daniel,Barez,"5' 6""",125 lbs.,"66.0""",16,6,0,,Orthodox
Danny,Barlow,"6' 2""",170 lbs.,"79.0""",7,0,0,LeftHand2God,Southpaw
Luke,Barnatt,"6' 6""",185 lbs.,"77.0""",13,4,0,The Bigslow,Orthodox
James,Barnes,"5' 8""",135 lbs.,"71.0""",14,5,0,Mooka,Orthodox
Nick,Barnes,"5' 11""",170 lbs.,--,11,2,0,,
Shonte,Barnes,"5' 11""",185 lbs.,"76.0""",6,2,1,Shyne,Southpaw
Josh,Barnett,"6' 3""",250 lbs.,"78.0""",35,8,0,The Warmaster,Orthodox
Chris,Barnett,"5' 9""",265 lbs.,"75.0""",23,8,0,Beastboy,Orthodox
Chris,Barnhizer,--,--,--,2,3,0,,
David,Baron,"5' 6""",155 lbs.,--,17,4,1,,Switch
Phil,Baroni,"5' 9""",170 lbs.,"72.0""",15,18,0,The New York Bad Ass,Orthodox
Dan,Barrera,"5' 9""",170 lbs.,--,3,1,0,The Fireman,Orthodox
Carlos,Barreto,"6' 4""",230 lbs.,--,14,9,0,,Orthodox
Jose,Barreto,--,185 lbs.,--,0,1,0,,Southpaw
Peter,Barrett,"5' 10""",145 lbs.,"73.0""",11,5,0,Slippery,Southpaw
Marc-Andre,Barriault,"6' 1""",185 lbs.,"74.0""",16,6,0,Powerbar,Orthodox
David,Barrios,"5' 6""",145 lbs.,--,4,8,0,,
Alexandre,Barros,"5' 9""",170 lbs.,--,22,11,0,Baixinho,Southpaw
Ricardo,Barros,"6' 1""",205 lbs.,--,2,2,0,,
Francimar,Barroso,"6' 1""",205 lbs.,"75.0""",19,7,0,Bodao,Orthodox
Pat,Barry,"5' 11""",235 lbs.,"74.0""",8,7,0,HD,Orthodox
Dean,Barry,"5' 10""",170 lbs.,"72.0""",4,2,0,The Sniper,Orthodox
Enrique,Barzola,"5' 7""",145 lbs.,"70.0""",17,5,2,El Fuerte,Orthodox
Javid,Basharat,"5' 9""",135 lbs.,"69.0""",14,0,0,The Snow Leopard,Orthodox
Farid,Basharat,"5' 8""",135 lbs.,"71.0""",11,0,0,Ferocious,Orthodox
Stephen,Bass,"5' 9""",145 lbs.,--,11,2,0,Bigfish,Orthodox
Sean,Bassett,--,155 lbs.,--,0,4,0,,
Ryan,Bastianelli,"5' 5""",135 lbs.,--,6,7,0,Relentless,
Shayna,Baszler,"5' 7""",135 lbs.,--,15,11,0,The Queen of Spades,Orthodox
Michel,Batista,"6' 3""",260 lbs.,--,4,1,0,,Orthodox
Bryan,Battle,"6' 1""",170 lbs.,"77.0""",11,2,0,Pooh Bear,Orthodox
Alan,Baudot,"6' 3""",243 lbs.,"79.0""",8,3,0,The Black Samourai,Orthodox
Mario,Bautista,"5' 9""",135 lbs.,"69.0""",13,2,0,,Switch
Chris,Beal,"5' 7""",125 lbs.,"69.0""",10,5,0,Real Deal,Orthodox
Donovan,Beard,"6' 2""",185 lbs.,"78.0""",7,2,0,The Highlight Reel,Orthodox
Rudy,Bears,"5' 11""",170 lbs.,--,16,15,0,,Southpaw
Salvador,Becerra,"5' 9""",155 lbs.,--,5,2,0,,
Ariel,Beck,"5' 6""",125 lbs.,"66.0""",4,5,0,,Southpaw
Jeff,Bedard,"5' 6""",145 lbs.,--,13,3,0,Little Popeye,Orthodox
Eric,Bedard,"6' 2""",239 lbs.,--,6,7,0,Lucky Strikes,
Johnny,Bedford,"5' 10""",135 lbs.,"71.0""",21,13,1,Brutal,Orthodox
Rolando,Bedoya,"5' 11""",170 lbs.,"74.0""",14,3,0,The Machine,Orthodox
Chase,Beebe,"5' 7""",135 lbs.,"67.0""",24,13,1,,Orthodox
Lyle,Beerbohm,"5' 10""",155 lbs.,--,24,3,0,Fancy Pants,Southpaw
Allan,Begosso,"5' 5""",135 lbs.,"66.0""",7,2,1,Mini,Orthodox
Mirsad,Bektic,"5' 8""",145 lbs.,"70.0""",13,4,0,,Orthodox
Diana,Belbita,"5' 7""",115 lbs.,"68.0""",15,8,0,The Warrior Princess,Orthodox
Alan,Belcher,"6' 2""",185 lbs.,"75.0""",18,8,0,The Talent,Orthodox
Vitor,Belfort,"6' 0""",185 lbs.,"74.0""",26,14,0,The Phenom,Southpaw
Yousri,Belgaroui,"6' 5""",185 lbs.,"79.0""",5,3,0,Baby Face Assassin,Orthodox
Rodolfo,Bellato,"6' 3""",205 lbs.,"75.0""",11,2,0,Trator,Orthodox
Danilo,Belluardo,"6' 0""",155 lbs.,"74.0""",12,5,0,Caterpillar,Southpaw
Joey,Beltran,"6' 1""",185 lbs.,"75.0""",17,14,0,The Mexicutioner,Orthodox
Marco,Beltran,"5' 8""",125 lbs.,"69.0""",8,6,0,Psycho,Orthodox
Joseph,Benavidez,"5' 4""",125 lbs.,"65.0""",28,8,0,,Southpaw
Mike,Bencic,"6' 0""",215 lbs.,--,1,2,0,Batman,Orthodox
Dave,Beneteau,"6' 2""",250 lbs.,--,6,5,1,Dangerous,Orthodox
Karla,Benitez,"5' 3""",113 lbs.,--,14,11,1,,
Gabriel,Benitez,"5' 8""",155 lbs.,"71.0""",23,11,0,Moggly,Southpaw
Charles,Bennett,"5' 8""",155 lbs.,--,30,33,2,Krazy Horse,Orthodox
Josh,Bennett,"6' 4""",259 lbs.,--,11,14,0,,Orthodox
DeAnna,Bennett,"5' 4""",125 lbs.,"68.0""",8,3,1,The Argentine Assassin,Orthodox
Lance,Benoist,"5' 11""",170 lbs.,"72.0""",7,2,0,,Southpaw
Joe,Benoit,"5' 9""",170 lbs.,--,11,4,0,,Orthodox
Ryan,Benoit,"5' 5""",125 lbs.,"68.0""",10,8,0,Baby Face,Orthodox
Pat,Benson,"5' 9""",155 lbs.,--,3,5,3,,
Len,Bentley,"5' 9""",155 lbs.,--,10,6,0,,
Steve,Berger,"5' 11""",170 lbs.,--,21,23,2,The Red Nosed Pitbull,Orthodox
Kenneth,Bergh,"6' 2""",205 lbs.,"74.0""",8,0,0,,Orthodox
Bret,Bergmark,"5' 9""",170 lbs.,--,6,1,1,The Angry Hick,
Keith,Berish,"6' 0""",205 lbs.,--,5,1,0,Sha Bang Bang,Orthodox
Dennis,Bermudez,"5' 6""",155 lbs.,"66.0""",17,9,0,The Menace,Orthodox
Manny,Bermudez,"5' 10""",145 lbs.,"71.0""",14,2,0,The Bermudez Triangle,Orthodox
Talita,Bernardo,"5' 4""",135 lbs.,"68.0""",6,4,0,,Orthodox
Dave,Berry,--,--,--,0,1,0,,
Keith,Berry,"6' 1""",185 lbs.,--,15,14,1,,
Dieusel,Berto,"5' 9""",200 lbs.,--,0,3,0,,
Edson,Berto,"5' 6""",155 lbs.,--,17,12,1,Little Tiger,Orthodox
Allen,Berube,"5' 8""",155 lbs.,--,4,3,0,Monstah Lobstah,Orthodox
Anton,Berzin,"6' 2""",205 lbs.,--,5,1,0,The Body Snatcher,Orthodox
Scott,Bessac,"6' 4""",245 lbs.,--,4,6,0,,
